ancestor,large,small
1.065452756,1.789486985,1.001764187
1.038599488,1.828336429,1.073356039
1.266032064,2.631398145,1.04137931
1.032514701,2.275590551,0.90898644
1.079440136,3.507352941,0.986082116
1.163039469,1.701417602,1.075859852
1.061337967,1.644133477,1.006577283
1.082155003,2.450673348,0.93
1.072281276,2.909795631,1.098286998
1.256567029,2.119280614,1.080213904
1.082881105,2.975997176,0.980933596
1.092395618,2.033787789,0.805460099
1.071478504,1.924008243,1.238405207
1.178533636,2.686811234,1.00092829
1.119134775,1.652396463,0.898891063
1.226429675,2.760502693,1.023890785
1.155789048,2.668039539,0.96034298
1.133201154,2.298816568,0.950844854
1.148584458,1.928856179,0.984879032
1.188110912,1.76100434,1.296989628
1.200653932,2.669127225,0.989206476
1.073812115,2.093421565,0.987508218
1.117021277,2.509027373,1.039622146
1.198844139,2.27147955,0.947368421
1.129373052,2.127399166,1.030506406
1.05251938,2.627480344,1.035515116
1.15301825,2.352437223,1.248092869
1.108732715,2.76645922,1.053792483
1.017233049,3.157098526,0.985991128
1.217099166,2.770559519,0.866013712
1.164200575,2.52312296,0.876224968
1.131461602,2.004342581,0.926631729
1.145212666,1.718967229,1.118151501
1.115254237,2.513119534,1.135702746
1.141931003,2.66685747,1.080233406
1.129307218,2.458557284,1.044879171
1.111385629,2.106433678,1.121808899
1.271331903,2.19088812,1.044196613
1.143726508,1.862398823,0.969766377
1.26825,2.812581913,0.889834515
1.226039387,2.096731154,1.035031056
1.003631961,2.418020679,0.917030568
1.105862584,2.350824993,1.003642158
1.148672566,1.792221352,0.968071838
1.086759645,2.090845725,0.988343421
1.102550091,1.742901797,1.060744872
1.296927609,2.601511508,1.092522549
1.081068737,2.181224744,1.091422367
1.114528796,2.244646524,0.926402574
1.196178085,2.597005988,0.954806148
1.121227115,1.679691156,
1.207814661,2.303748126,
1.15113705,1.778324022,
1.366678926,2.138156106,
1.32960112,2.350828025,
1.12197217,2.222031403,
1.116646416,2.275265957,
1.291469581,2.227081138,
1.341219465,2.185120604,
1.335426843,2.459874787,
1.105390463,2.52038835,
1.235181644,2.952822892,
1.136363636,2.090672963,
1.124505557,2.185195155,
1.162895928,2.23880116,
1.195655951,2.215660427,
1.275551553,2.901413079,
1.036191443,2.405377981,
1.083261432,2.115372524,
1.089421089,1.766819778,
1.047678349,2.096636412,
1.029748788,2.345463367,
1.153443924,1.891310055,
1.280516129,2.026748466,
1.09045896,2.901710835,
1.169314079,2.726126126,
1.113714805,3.661736822,
1.224276908,2.629027816,
1.120433018,2.105723746,
1.067984738,2.722648084,
1.188118812,1.824959481,
1.125918504,2.336174242,
1.188605512,2.129723297,
1.168640351,3.41231593,
1.273364896,2.654734411,
1.102748118,2.507851759,
1.211635565,2.937138974,
0.980807412,2.798495769,
1.095643939,3.330990629,
1.083460366,2.11018711,
1.074310345,2.509157509,
1.195830086,2.734092431,
1.196721311,2.633414719,
1.110288535,2.743500402,
1.032290114,2.138037539,
1,2.295971979,
1.204090064,2.791155584,
1.08002871,2.212184387,
1.049217002,2.339778405,
1.076012223,1.900065175,
1.29375765,2.244690398,
1.03253292,2.498675497,
1.235418428,2.695976155,
1.060204595,2.89516893,
1.135826349,2.193611656,
1.101531578,1.537462105,
1.161500816,1.824581518,
1.136089385,1.983013294,
1.042634183,1.912468075,
1.139865997,2.096329255,
1.103767238,2.777517564,
1.047001316,2.614094839,
1.202493465,2.048911714,
1.176772141,3.21698662,
1.161145927,2.734564165,
1.142693803,2.021221681,
1.150419626,3.368978476,
1.182098765,2.629246677,
1.045257583,2.070397112,
1.068013468,1.931026253,
1.141265741,,
1.036754904,,
1.211727593,,
1.349449756,,
1.1652728,,
1.151288056,,
1.121629059,,
0.932349147,,